Date,Calib.Date,Time,Sample.ID,Treatment,Temperature,pH.MV,Salinity,Period1,Notes
20180718,20180718,8:15,H1_T,Ambient,14.781,-47.9,29.1,Day_4,
20180718,20180718,8:15,H2_B,Ambient,14.735,-48,28.9,Day_4,
20180718,20180718,8:15,H2_T,Ambient,14.868,-48,29.1,Day_4,
20180718,20180718,8:15,H3_B,Low,14.692,-16,29.15,Day_4,
20180718,20180718,8:15,H3_T,Low,14.73,-15.5,29.12,Day_4,
20180718,20180718,8:15,T0,Low,14.651,-14.4,29.03,Day_4,
20180718,20180718,8:15,T1,Ambient,14.489,-48,29.11,Day_4,
20180718,20180718,8:15,T2,Ambient,14.551,-48.1,29.13,Day_4,
20180718,20180718,8:15,T3,Low,14.562,-15,29.12,Day_4,
20180718,20180718,15:15,T6,Ambient,14.916,-46.7,28.67,,"pH low, settled larvae in ambient"
20180718,20180718,15:15,T7,Ambient,14.955,-48.3,29.11,,"control, settled larvae in ambient"
20180718,20180718,15:15,T9,Ambient,15.124,-47.4,29.09,,"control, settled larvae  in ambient"
20180719,20180719,9:40,H0_B,Low,14.956,-14.4,28.85,Day_5,
20180719,20180719,9:40,H0_T,Low,14.961,-14.2,28.96,Day_5,
20180719,20180719,9:40,H1_B,Ambient,14.55,-48.8,28.97,Day_5,
20180719,20180719,9:40,H1_T,Ambient,14.671,-48.4,28.24,Day_5,
20180719,20180719,9:40,H2_B,Ambient,14.707,-48.9,29.05,Day_5,
20180719,20180719,9:40,H2_T,Ambient,14.768,-49,29.08,Day_5,
20180719,20180719,9:40,H3_B,Low,14.749,-14.8,28.55,Day_5,
20180719,20180719,9:40,H3_T,Low,14.787,-14.2,29.1,Day_5,
20180719,20180719,9:40,T0,Low,14.751,-13.4,29.08,Day_5,
20180719,20180719,9:40,T1,Ambient,14.49,,,Day_5,
20180719,20180719,9:40,T2,Ambient,14.626,-48.2,29.11,Day_5,
20180719,20180719,9:40,T3,Low,14.637,-13.8,29.12,Day_5,
20180719,20180719,9:40,T6,Ambient,14.309,-48.7,29.02,,"pH low, settled larvae in ambient"
20180719,20180719,9:40,T7,Ambient,14.361,-48.6,29.09,,"control, settled larvae in ambient"
20180719,20180719,9:40,T9,Ambient,14.763,-48.4,29.1,,"control, settled larvae  in ambient"
20180720,20180720,9:15,H0_B,Low,14.542,-14.9,29.18,,
20180720,20180720,9:15,H0_T,Low,14.531,-14.3,29.04,,
20180720,20180720,9:15,H1_B,Ambient,14.364,-48.5,29.08,,
20180720,20180720,9:15,H1_T,Ambient,14.465,-48.3,29.13,,
20180720,20180720,9:15,H2_B,Ambient,14.452,-49,29.14,,
20180720,20180720,9:15,H2_T,Ambient,14.53,-48.8,29.14,,
20180720,20180720,9:15,H3_B,Low,14.34,-14.7,29.12,,
20180720,20180720,9:15,H3_T,Low,14.38,-14.5,29.17,,
20180720,20180720,9:15,T0,Low,14.335,-12.4,28.68,,
20180720,20180720,9:15,T1,Ambient,14.334,-48.6,29.11,,
20180720,20180720,9:15,T2,Ambient,14.352,-48.9,29.17,,
20180720,20180720,9:15,T3,Low,14.3,-14.4,29.19,,
20180721,20180721,11:00,H0_B,Low,15.614,-16,29.18,,
20180721,20180721,11:00,H0_T,Low,15.689,-15.5,29.24,,
20180721,20180721,11:00,H1_B,Ambient,15.736,-48.2,29.23,,
20180721,20180721,11:00,H1_T,Ambient,15.781,-48.1,29.22,,
20180721,20180721,11:00,H2_B,Ambient,15.625,-47.8,29.18,,
20180721,20180721,11:00,H2_T,Ambient,15.699,-47.6,29.2,,
20180721,20180721,11:00,H3_B,Low,15.728,-15.4,29.25,,
20180721,20180721,11:00,H3_T,Low,15.739,-13.6,29.24,,
20180721,20180721,11:00,T0,Low,15.573,-13.3,29.27,,
20180721,20180721,11:00,T1,Ambient,15.654,-48.1,29.27,,
20180721,20180721,11:00,T2,Ambient,15.574,-47.7,29.26,,
20180721,20180721,11:00,T3,Low,15.614,-13.5,29.24,,
20180721,20180721,11:00,T6,Ambient,15.344,-47.2,29.28,,
20180721,20180721,11:00,T7,Ambient,15.552,-47.4,29.26,,
20180721,20180721,11:00,T9,Ambient,16.178,-46.6,29.3,,
20180722,20180722,9:55,H0_B,Low,14.944,-15.8,29.01,,
20180722,20180722,9:55,H0_T,Low,14.995,-15.7,28.98,,
20180722,20180722,9:55,H1_B,Ambient,14.757,-48.3,29.2,,
20180722,20180722,9:55,H1_T,Ambient,14.9,-48.2,29.22,,
20180722,20180722,9:55,H2_B,Ambient,14.759,-48.2,29.21,,
20180722,20180722,9:55,H2_T,Ambient,14.813,-48.1,29.23,,
20180722,20180722,9:55,H3_B,Low,14.891,-15.2,29.1,,
20180722,20180722,9:55,H3_T,Low,14.914,-14.7,29.22,,
20180722,20180722,9:55,T0,Low,14.853,-14.8,28.43,,
20180722,20180722,9:55,T1,Ambient,14.66,-48.1,29.2,,
20180722,20180722,9:55,T2,Ambient,14.681,-48.4,29.24,,
20180722,20180722,9:55,T3,Low,14.746,-14.4,29.25,,
20180722,20180722,9:55,T6,Ambient,14.346,-45.8,29.22,,
20180722,20180722,9:55,T7,Ambient,14.424,-48.1,29.25,,
20180722,20180722,9:55,T9,Ambient,15.405,-47.6,29.28,,
20180723,20180723,12:45,H0_B,Low,16.277,-14.4,29.2,,
20180723,20180723,12:45,H0_T,Low,16.292,-16.5,29.19,,
20180723,20180723,12:45,H1_B,Ambient,16.051,-47,29.21,,
20180723,20180723,12:45,H1_T,Ambient,16.1,-46.8,29.21,,
20180723,20180723,12:45,H2_B,Ambient,16.135,-47.4,29.19,,
20180723,20180723,12:45,H2_T,Ambient,16.138,-46.8,29.24,,
20180723,20180723,12:45,H3_B,Low,16.138,-16,29.23,,
20180723,20180723,12:45,H3_T,Low,16.203,-16.4,29.22,,
20180723,20180723,12:45,T0,Low,16.206,-14.3,28.99,,
20180723,20180723,12:45,T1,Ambient,15.979,-46.8,29.21,,
20180723,20180723,12:45,T2,Ambient,16.031,-47.2,29.25,,
20180723,20180723,12:45,T3,Low,16.077,-14.6,29.27,,
20180723,20180723,12:45,T6,Ambient,15.908,-46.9,29.24,,
20180723,20180723,12:45,T7,Ambient,16.01,-47.2,29.26,,
20180723,20180723,12:45,T9,Ambient,18.166,-47.2,29.45,,
20180724,20180724,9:40,H0_B,Low,15.781,-14.9,28.9,,
20180724,20180724,9:40,H0_T,Low,15.845,-15.9,28.57,,
20180724,20180724,9:40,H1_B,Ambient,15.548,-52.1,29.14,,
20180724,20180724,9:40,H1_T,Ambient,15.585,-52.1,29.14,,
20180724,20180724,9:40,H2_B,Ambient,15.644,-52.5,29.14,,
20180724,20180724,9:40,H2_T,Ambient,15.673,-52.5,29.17,,
20180724,20180724,9:40,H3_B,Low,15.641,-15.4,29.12,,
20180724,20180724,9:40,H3_T,Low,15.779,-14.9,29.11,,
20180724,20180724,9:40,T0,Low,15.68,-13.4,28.86,,
20180724,20180724,9:40,T1,Ambient,15.433,-52.4,29.16,,
20180724,20180724,9:40,T2,Ambient,15.522,-52.7,29.21,,
20180724,20180724,9:40,T3,Low,15.563,-15,29.19,,
20180724,20180724,9:40,T6,Ambient,15.266,-52.3,29.22,,
20180724,20180724,9:40,T7,Ambient,15.163,-52.1,29.2,,
20180724,20180724,9:40,T9,Ambient,16.402,-51.6,29.3,,
20180731,20180731,11:50,H0_B,Ambient,16.4,-51.3,29.17,,
20180731,20180731,11:50,H0_T,Ambient,16.4,-50.1,29.2,,
20180731,20180731,11:50,H1_B,Ambient,16.4,-51,29.25,,
20180731,20180731,11:50,H1_T,Ambient,16.4,-50.9,29.26,,
20180731,20180731,11:50,H2_B,Ambient,16.4,-51.5,29.13,,
20180731,20180731,11:50,H2_T,Ambient,16.4,-51.3,29.24,,
20180731,20180731,11:50,H3_B,Ambient,16.4,-51.4,29.21,,
20180731,20180731,11:50,H3_T,Ambient,16.4,-51.4,29.22,,
20180731,20180731,11:50,T0,Ambient,16.4,-50.7,29.22,conditions returned to ambient on evening of 20180724 temp sensor out of battery,
20180731,20180731,11:50,T1,Ambient,16.4,-50.9,29.23,,
20180731,20180731,11:50,T2,Ambient,16.4,-51.3,29.24,,
20180731,20180731,11:50,T3,Ambient,16.4,-51.5,29.24,,
20180802,20180802,9:45,H0_B,Ambient,15.2,-51.6,29.13,,
20180802,20180802,9:45,H0_T,Ambient,15.2,-51.4,29.21,,
20180802,20180802,9:45,H1_B,Ambient,15.2,-51.5,29.08,,
20180802,20180802,9:45,H1_T,Ambient,15.2,-51.5,29.21,,
20180802,20180802,9:45,H2_B,Ambient,15.2,-51.5,29.19,,
20180802,20180802,9:45,H2_T,Ambient,15.2,-51.6,29.23,,
20180802,20180802,9:45,H3_B,Ambient,15.2,-51.5,29.26,,
20180802,20180802,9:45,H3_T,Ambient,15.2,-51.5,29.25,,
20180802,20180802,9:45,T0,Ambient,15.2,-50.3,29.16,temp sensor out of battery,
20180802,20180802,9:45,T1,Ambient,15.2,-51.8,29.21,,
20180802,20180802,9:45,T2,Ambient,15.2,-50.8,29.28,,
20180802,20180802,9:45,T3,Ambient,15.2,-51.7,29.23,,
20180803,20180803,9:12,H0_B,Ambient,14.972,-48.5,29.2,,
20180803,20180803,9:12,H0_T,Ambient,15.86,-48,29.34,,
20180803,20180803,9:12,H1_B,Ambient,14.704,-46.9,29.01,,
20180803,20180803,9:12,H1_T,Ambient,14.837,-48.2,29.19,,
